inst#,actual,predicted,error,prediction,pageid
62,2:no,2:no,,0.619,461211
63,1:yes,1:yes,,0.608,6438
64,1:yes,1:yes,,0.718,24552
65,2:no,2:no,,0.703,1915347
66,2:no,1:yes,+,0.661,602466
67,1:yes,1:yes,,0.637,55309
68,1:yes,1:yes,,0.608,577320
69,1:yes,1:yes,,0.939,3418303
70,2:no,2:no,,0.974,15219666
71,1:yes,2:no,+,0.655,93767
72,2:no,2:no,,0.89,40304660
73,2:no,2:no,,0.838,3847111
74,1:yes,1:yes,,0.799,3382
75,1:yes,1:yes,,0.715,83859
76,2:no,2:no,,0.984,4110803
77,1:yes,1:yes,,0.897,236331
78,1:yes,1:yes,,0.532,275297
79,1:yes,1:yes,,0.571,10653
80,1:yes,1:yes,,0.635,1163228
81,2:no,2:no,,0.858,2083285
82,2:no,2:no,,0.959,339394
83,2:no,1:yes,+,0.566,33277
84,1:yes,2:no,+,0.679,252854
85,1:yes,1:yes,,0.916,30635
86,2:no,2:no,,0.877,11792907
87,2:no,1:yes,+,0.77,1053949
88,1:yes,1:yes,,0.594,324091
89,1:yes,1:yes,,0.556,6100
90,2:no,2:no,,0.971,538391
91,2:no,2:no,,0.904,15887917
92,1:yes,1:yes,,0.799,21538638
93,2:no,1:yes,+,0.54,25452
94,1:yes,2:no,+,0.507,605837
95,2:no,2:no,,0.978,19363129
96,1:yes,1:yes,,0.729,7567080
97,1:yes,1:yes,,0.615,728775
98,2:no,2:no,,0.999,31429503
99,1:yes,2:no,+,0.81,294545
100,2:no,1:yes,+,0.532,265778
101,2:no,2:no,,0.693,25977139
102,2:no,2:no,,0.986,36121147
103,2:no,2:no,,0.82,164676
104,1:yes,1:yes,,0.644,1130664
105,1:yes,1:yes,,0.62,19389318
106,2:no,1:yes,+,0.525,23713433
107,1:yes,1:yes,,0.71,432709
108,1:yes,1:yes,,0.689,2387806
109,1:yes,1:yes,,0.894,162870
110,1:yes,2:no,+,0.745,189109
111,2:no,2:no,,0.611,20989
112,1:yes,2:no,+,0.616,685631
113,1:yes,1:yes,,0.865,29812
114,2:no,2:no,,0.681,1225426
115,1:yes,1:yes,,0.765,26232
116,1:yes,1:yes,,0.804,9209651
117,1:yes,2:no,+,0.536,643015
118,2:no,2:no,,0.611,6027422
119,1:yes,1:yes,,0.874,161947
120,2:no,1:yes,+,0.535,49133251
121,2:no,2:no,,0.598,8220
122,1:yes,1:yes,,0.649,5962511
123,2:no,2:no,,0.618,1726029
124,2:no,2:no,,0.966,1340054
125,2:no,1:yes,+,0.599,6293
126,2:no,2:no,,0.588,14526706
127,1:yes,1:yes,,0.94,10979
128,1:yes,1:yes,,0.759,40817590
129,1:yes,1:yes,,0.657,678255
130,1:yes,1:yes,,0.77,172479
131,2:no,2:no,,0.945,35034020
132,2:no,2:no,,0.899,24404702
133,2:no,2:no,,0.882,501798
134,2:no,1:yes,+,0.519,962893
135,2:no,2:no,,0.848,8799338
136,1:yes,1:yes,,0.79,6760
137,1:yes,1:yes,,0.801,2632114
138,2:no,2:no,,0.575,49856
139,2:no,1:yes,+,0.604,238677
140,1:yes,1:yes,,0.604,23943124
141,2:no,2:no,,0.749,22771176
142,1:yes,1:yes,,0.762,11921
143,1:yes,1:yes,,0.8,24133117
144,1:yes,1:yes,,0.596,21632
145,2:no,2:no,,0.565,3437663
146,1:yes,1:yes,,0.889,38301
147,1:yes,1:yes,,0.56,46636
148,2:no,2:no,,0.68,44319369
149,2:no,2:no,,0.99,3348541
150,2:no,1:yes,+,0.708,32905
151,1:yes,1:yes,,0.818,5847204
152,1:yes,2:no,+,0.52,16105186
153,2:no,2:no,,0.525,8133
154,2:no,2:no,,0.99,43689031
155,1:yes,2:no,+,0.647,21208262
156,1:yes,1:yes,,0.537,49823
157,1:yes,1:yes,,0.642,39764
158,1:yes,1:yes,,0.573,31516
159,1:yes,1:yes,,0.797,2064489
160,2:no,2:no,,0.574,5464960
161,1:yes,1:yes,,0.797,11415141
162,2:no,2:no,,0.905,10789502
163,1:yes,1:yes,,0.604,418732
164,2:no,2:no,,0.776,37935620
165,2:no,1:yes,+,0.565,19188562
166,1:yes,1:yes,,0.502,18836
167,1:yes,2:no,+,0.524,73626
168,1:yes,1:yes,,0.765,466454
169,2:no,2:no,,0.626,2898867
170,1:yes,1:yes,,0.838,8687
171,2:no,1:yes,+,0.723,177765
172,2:no,2:no,,0.627,18932608
173,1:yes,2:no,+,0.525,23486968
174,1:yes,2:no,+,0.59,9231869
175,1:yes,1:yes,,0.719,521057
176,1:yes,1:yes,,0.755,18945847
177,2:no,2:no,,0.91,36118062
178,2:no,1:yes,+,0.701,188432
179,1:yes,1:yes,,0.686,17416221
180,2:no,2:no,,0.566,18203
181,1:yes,1:yes,,0.709,528543
182,2:no,2:no,,0.586,4339
183,2:no,2:no,,0.603,262260
184,1:yes,1:yes,,0.65,550948
185,2:no,1:yes,+,0.532,37010
186,1:yes,1:yes,,0.935,14995351
187,1:yes,1:yes,,0.644,14233
188,1:yes,1:yes,,0.936,3414021
189,2:no,2:no,,0.585,1117450
190,2:no,2:no,,0.652,21221606
191,2:no,1:yes,+,0.782,60845
192,1:yes,1:yes,,0.519,7954867
193,1:yes,1:yes,,0.604,6253522
194,2:no,2:no,,0.825,14368996
195,2:no,2:no,,0.767,53141433
196,1:yes,2:no,+,0.504,1643647
197,2:no,2:no,,0.976,19196945
198,2:no,2:no,,0.806,207655
199,2:no,2:no,,0.652,29174356
200,1:yes,1:yes,,0.774,644622
201,1:yes,1:yes,,0.909,166163
202,2:no,1:yes,+,0.535,21184
203,2:no,2:no,,0.752,13485
204,2:no,1:yes,+,0.685,350072
205,1:yes,1:yes,,0.869,32591
206,2:no,2:no,,0.512,290189
207,1:yes,1:yes,,0.912,5902
208,2:no,2:no,,0.939,3072290
209,1:yes,1:yes,,0.677,19360669
210,2:no,2:no,,0.932,5437
211,2:no,2:no,,0.833,4967784
212,2:no,2:no,,0.931,68460
213,2:no,2:no,,0.854,3567893
214,1:yes,1:yes,,0.514,27931
215,1:yes,1:yes,,0.654,5714828
216,2:no,1:yes,+,0.576,18952719
217,2:no,2:no,,0.816,37042017
218,2:no,2:no,,0.669,35622760
219,2:no,2:no,,0.755,2065634
220,2:no,2:no,,0.975,100638
221,2:no,1:yes,+,0.506,410980
222,2:no,1:yes,+,0.514,231623
223,2:no,1:yes,+,0.561,2048467
224,1:yes,1:yes,,0.764,6827
225,1:yes,1:yes,,0.89,30741795
226,2:no,2:no,,0.879,4614422
227,1:yes,1:yes,,0.62,16365325
228,1:yes,1:yes,,0.825,15247542
229,1:yes,1:yes,,0.517,4874
230,1:yes,1:yes,,0.906,429542
231,1:yes,1:yes,,0.735,51255
232,2:no,1:yes,+,0.654,1775833
233,2:no,1:yes,+,0.539,8613
234,1:yes,1:yes,,0.585,250193
235,1:yes,1:yes,,0.882,21492751
236,1:yes,2:no,+,0.691,137840
237,2:no,2:no,,0.529,194896
238,1:yes,1:yes,,0.693,38776
239,1:yes,2:no,+,0.55,13457
240,1:yes,1:yes,,0.86,47702
241,2:no,2:no,,0.85,27372858
242,2:no,2:no,,0.748,7921
243,1:yes,2:no,+,0.527,143377
244,1:yes,1:yes,,0.573,16218
245,1:yes,1:yes,,0.619,5920
246,1:yes,1:yes,,0.557,21742
247,1:yes,1:yes,,0.719,447382
248,1:yes,2:no,+,0.525,9236
249,2:no,1:yes,+,0.565,31655
250,2:no,2:no,,0.934,7723686
251,1:yes,1:yes,,0.709,1704222
252,1:yes,1:yes,,0.74,17391
253,2:no,1:yes,+,0.586,157302
254,2:no,2:no,,0.892,325831
255,1:yes,1:yes,,0.694,23278520
256,2:no,2:no,,0.899,2099143
257,2:no,1:yes,+,0.624,827225
258,2:no,2:no,,0.864,33160132
259,1:yes,2:no,+,0.563,13545731
260,2:no,2:no,,0.721,1577801
261,2:no,2:no,,0.715,4471439
262,2:no,1:yes,+,0.544,2088125
263,1:yes,1:yes,,0.941,7529378
264,2:no,2:no,,0.936,10286612
265,2:no,1:yes,+,0.744,893219
266,2:no,2:no,,0.993,10929788
267,2:no,2:no,,0.755,2937699
268,1:yes,1:yes,,0.55,309935
269,2:no,2:no,,0.968,31358910
270,2:no,2:no,,0.764,4922019
271,2:no,1:yes,+,0.67,418646
272,2:no,1:yes,+,0.795,18998781
273,2:no,2:no,,0.984,2525549
274,2:no,2:no,,0.756,47081476
275,1:yes,2:no,+,0.802,41586875
276,1:yes,1:yes,,0.564,25862547
277,1:yes,1:yes,,0.764,18582416
278,1:yes,2:no,+,0.735,197615
279,2:no,2:no,,0.979,15342038
280,1:yes,1:yes,,0.547,23221
281,1:yes,1:yes,,0.745,183050
282,1:yes,1:yes,,0.797,19394613
283,2:no,2:no,,0.52,1014707
284,1:yes,1:yes,,0.635,31150160
285,2:no,2:no,,0.824,262979
286,2:no,2:no,,0.73,19447
287,1:yes,1:yes,,0.615,339365
288,1:yes,1:yes,,0.623,340867
289,2:no,2:no,,0.983,1346058
290,1:yes,1:yes,,0.55,1166630
291,1:yes,1:yes,,0.624,20548
292,1:yes,1:yes,,0.786,34059
293,1:yes,1:yes,,0.595,2184033
294,2:no,2:no,,0.56,7543675
295,2:no,2:no,,0.689,50547541
296,1:yes,2:no,+,0.785,187273
297,1:yes,1:yes,,0.676,3463
298,2:no,1:yes,+,0.688,30555
299,2:no,2:no,,0.996,44471459
300,1:yes,1:yes,,0.855,21131695
301,1:yes,2:no,+,0.851,1056144
302,2:no,2:no,,0.535,505833
303,1:yes,1:yes,,0.54,206365
304,2:no,1:yes,+,0.561,100385
305,1:yes,1:yes,,0.896,26847
306,1:yes,2:no,+,0.636,1103138
307,2:no,2:no,,0.868,47939619
308,1:yes,1:yes,,0.521,24795561
309,1:yes,1:yes,,0.824,5052197
310,2:no,2:no,,0.88,10601100
311,1:yes,1:yes,,0.738,155160
312,1:yes,1:yes,,0.565,230025
313,2:no,2:no,,0.99,43337801
314,1:yes,1:yes,,0.677,12441
315,1:yes,1:yes,,0.824,21217
316,1:yes,1:yes,,0.861,150374
317,1:yes,1:yes,,0.83,231156
318,2:no,1:yes,+,0.552,417493
319,1:yes,1:yes,,0.759,27655
320,2:no,2:no,,0.635,1398923
321,1:yes,1:yes,,0.69,24507
322,2:no,2:no,,0.936,459319
323,2:no,2:no,,0.706,2457206
324,1:yes,1:yes,,0.751,26494
325,2:no,2:no,,0.555,4009240
326,2:no,2:no,,0.92,30863072
327,2:no,2:no,,0.938,5715768
328,1:yes,1:yes,,0.661,55974
329,2:no,1:yes,+,0.801,2412780
330,2:no,2:no,,0.795,7166373
331,1:yes,2:no,+,0.705,51511
332,2:no,2:no,,0.73,158267
333,2:no,2:no,,0.981,4693368
334,1:yes,1:yes,,0.927,21566
335,2:no,1:yes,+,0.694,8980330
336,1:yes,1:yes,,0.755,100390
337,1:yes,2:no,+,0.517,348746
338,2:no,2:no,,0.639,99887
339,2:no,2:no,,0.672,26857471
340,1:yes,1:yes,,0.569,283205
341,1:yes,1:yes,,0.819,168601
342,1:yes,2:no,+,0.549,3727944
343,1:yes,1:yes,,0.613,50106813
344,1:yes,1:yes,,0.834,56435
345,1:yes,1:yes,,0.506,1332334
346,2:no,2:no,,0.958,870044
347,1:yes,1:yes,,0.657,18948365
348,1:yes,1:yes,,0.843,924166
349,2:no,1:yes,+,0.921,18934
350,2:no,2:no,,0.859,49238177
351,2:no,2:no,,0.873,158986
352,1:yes,1:yes,,0.627,53257
353,2:no,2:no,,0.573,2008273
354,2:no,2:no,,0.719,2103628
355,2:no,1:yes,+,0.619,1051262
356,2:no,2:no,,0.733,40514
357,1:yes,1:yes,,0.751,14335296
358,2:no,2:no,,0.636,40528
359,1:yes,1:yes,,0.89,93791
360,2:no,2:no,,0.869,112607
361,1:yes,1:yes,,0.584,16367528
362,2:no,2:no,,0.835,32220228
363,2:no,2:no,,0.932,5829721
364,1:yes,1:yes,,0.545,1131183
365,2:no,2:no,,0.613,931802
366,1:yes,1:yes,,0.524,15226
367,1:yes,1:yes,,0.754,53869
368,2:no,1:yes,+,0.921,33265
369,2:no,1:yes,+,0.873,69328
370,1:yes,2:no,+,0.61,30821628
371,1:yes,2:no,+,0.77,424675
372,2:no,1:yes,+,0.781,206705
373,2:no,2:no,,0.978,6093697
374,2:no,2:no,,0.895,170808
375,2:no,2:no,,0.537,184483
376,1:yes,1:yes,,0.654,65426
377,1:yes,1:yes,,0.57,18925
378,2:no,2:no,,0.529,1130
379,2:no,2:no,,0.685,49728
380,2:no,2:no,,0.887,37009650
381,2:no,2:no,,0.529,50771
382,2:no,1:yes,+,0.709,176316
383,2:no,2:no,,0.97,16924903
384,2:no,2:no,,0.674,17349356
385,2:no,2:no,,0.932,16150410
386,1:yes,1:yes,,0.879,11185
387,2:no,1:yes,+,0.665,265083
388,1:yes,1:yes,,0.797,23213
389,2:no,2:no,,0.861,372810
390,1:yes,1:yes,,0.792,19572217
391,2:no,2:no,,0.769,35719627
392,1:yes,1:yes,,0.605,24872
393,2:no,1:yes,+,0.851,2346975
394,2:no,2:no,,0.786,113453
395,1:yes,2:no,+,0.502,68319
396,1:yes,2:no,+,0.542,1630282
397,1:yes,1:yes,,0.809,14529239
398,2:no,2:no,,0.897,30840
399,1:yes,1:yes,,0.794,205522
400,1:yes,1:yes,,0.909,64959
401,1:yes,1:yes,,0.596,103123
402,1:yes,1:yes,,0.744,23808
403,2:no,1:yes,+,0.819,102685
404,2:no,1:yes,+,0.557,40567
405,1:yes,1:yes,,0.756,12
406,2:no,1:yes,+,0.57,628782
407,1:yes,1:yes,,0.735,4116
408,2:no,1:yes,+,0.765,29266
409,2:no,2:no,,0.986,26949079
410,2:no,1:yes,+,0.701,10597
411,1:yes,1:yes,,0.565,17173785
412,1:yes,1:yes,,0.51,8683
413,1:yes,1:yes,,0.781,56481
414,2:no,2:no,,0.929,83620
415,2:no,2:no,,0.556,54739124
416,2:no,2:no,,0.733,3020109
417,2:no,2:no,,0.623,35503
418,1:yes,1:yes,,0.672,18567040
419,1:yes,1:yes,,0.654,15573
420,2:no,2:no,,0.593,4050068
421,2:no,1:yes,+,0.804,64610
422,1:yes,1:yes,,0.82,32927
423,1:yes,1:yes,,0.894,19019270
424,1:yes,2:no,+,0.642,30706524
425,2:no,2:no,,0.929,37631502
426,1:yes,2:no,+,0.679,10839777
427,2:no,2:no,,0.853,33833363
428,2:no,2:no,,0.811,511735
429,2:no,2:no,,0.968,31655498
430,1:yes,1:yes,,0.844,17253537
431,1:yes,1:yes,,0.905,5058628
432,2:no,2:no,,0.981,1111358
433,2:no,2:no,,0.73,67252
434,2:no,2:no,,0.69,17343590
435,1:yes,1:yes,,0.627,602643
436,2:no,2:no,,0.995,24234930
437,1:yes,1:yes,,0.922,1481886
438,2:no,2:no,,0.879,14238443
439,2:no,2:no,,0.546,1008284
440,2:no,2:no,,0.556,25389526
441,1:yes,1:yes,,0.785,361024
442,1:yes,1:yes,,0.671,212472
443,1:yes,1:yes,,0.824,19329135
444,1:yes,1:yes,,0.547,17396
445,2:no,2:no,,0.535,30871090
446,1:yes,1:yes,,0.729,32350676
447,1:yes,1:yes,,0.782,33381607
448,1:yes,1:yes,,0.656,249623
449,1:yes,1:yes,,0.776,1329090
450,2:no,1:yes,+,0.706,18406401
451,1:yes,1:yes,,0.56,564204
452,2:no,2:no,,0.968,5240186
453,2:no,2:no,,0.74,34678382
454,1:yes,1:yes,,0.686,25382
455,2:no,1:yes,+,0.606,2676764
456,2:no,1:yes,+,0.734,1933002
457,2:no,2:no,,0.991,33098504
458,2:no,2:no,,0.608,147748
459,1:yes,1:yes,,0.782,25664190
460,1:yes,2:no,+,0.929,320023
461,2:no,2:no,,0.939,2845579
462,1:yes,1:yes,,0.686,80740
463,1:yes,1:yes,,0.524,5407
464,1:yes,1:yes,,0.72,53842
465,2:no,2:no,,0.666,412059
466,2:no,2:no,,0.527,75758
467,1:yes,1:yes,,0.882,16175
468,1:yes,1:yes,,0.76,5405
469,1:yes,2:no,+,0.544,3329753
470,2:no,2:no,,0.654,195759
471,1:yes,1:yes,,0.578,11015826
472,2:no,1:yes,+,0.647,145325
473,2:no,2:no,,0.799,1181193
474,2:no,1:yes,+,0.524,2194173
475,2:no,2:no,,0.627,26781
476,2:no,2:no,,0.889,1348067
477,1:yes,1:yes,,0.579,65192
478,2:no,1:yes,+,0.5,6142330
479,2:no,2:no,,0.688,151296
480,1:yes,1:yes,,0.679,3722
481,2:no,2:no,,0.983,9933726
482,2:no,2:no,,0.66,66592
483,2:no,1:yes,+,0.751,7116046
484,1:yes,1:yes,,0.9,18978563
485,1:yes,1:yes,,0.704,18949797
486,2:no,1:yes,+,0.53,22614
487,1:yes,1:yes,,0.685,18932
488,2:no,2:no,,0.946,40849708
489,1:yes,2:no,+,0.58,186319
490,2:no,2:no,,0.938,8841014
491,1:yes,1:yes,,0.907,2944
492,2:no,2:no,,0.826,34518150
493,1:yes,1:yes,,0.97,11955
494,2:no,2:no,,0.936,3584913
495,2:no,2:no,,0.961,6453527
496,2:no,1:yes,+,0.514,9770
497,2:no,2:no,,0.782,7875958
498,2:no,2:no,,0.58,504379
499,2:no,2:no,,0.677,47524633
500,1:yes,1:yes,,0.649,44849
501,1:yes,1:yes,,0.631,11587
502,1:yes,1:yes,,0.748,22546
503,1:yes,2:no,+,0.838,656307
504,2:no,2:no,,0.904,18113207
505,2:no,2:no,,0.884,32122390
506,1:yes,1:yes,,0.949,534366
507,1:yes,1:yes,,0.613,983366
508,2:no,2:no,,0.939,14941202
509,1:yes,1:yes,,0.637,27417455
510,1:yes,1:yes,,0.738,1587917
511,1:yes,1:yes,,0.764,13869
512,1:yes,1:yes,,0.901,335077
513,1:yes,1:yes,,0.915,8900
514,2:no,2:no,,0.65,83220
515,2:no,1:yes,+,0.593,404829
516,1:yes,1:yes,,0.774,196206
517,1:yes,1:yes,,0.935,19904525
518,1:yes,1:yes,,0.92,28840
519,2:no,2:no,,0.879,1934406
520,1:yes,2:no,+,0.684,13436
521,1:yes,1:yes,,0.65,23564616
522,1:yes,1:yes,,0.541,15578
523,1:yes,1:yes,,0.813,43758363
524,1:yes,1:yes,,0.686,244098
525,2:no,2:no,,0.701,18285325
526,1:yes,2:no,+,0.792,2047065
527,1:yes,1:yes,,0.743,25614
528,2:no,2:no,,0.764,1557324
529,2:no,2:no,,0.978,15102522
530,1:yes,1:yes,,0.718,268869
531,1:yes,1:yes,,0.608,21021
532,1:yes,1:yes,,0.825,456252
533,1:yes,2:no,+,0.54,15181647
534,2:no,1:yes,+,0.825,65133
535,1:yes,2:no,+,0.521,125309
536,2:no,2:no,,0.502,55319
537,1:yes,1:yes,,0.745,30018
538,2:no,2:no,,0.859,48550979
539,1:yes,1:yes,,0.729,21525
540,1:yes,1:yes,,0.645,978525
541,1:yes,1:yes,,0.568,31880
542,1:yes,1:yes,,0.81,216531
543,1:yes,1:yes,,0.734,5282
544,1:yes,1:yes,,0.735,376898
545,1:yes,2:no,+,0.54,27540718
546,1:yes,1:yes,,0.777,142510
547,1:yes,1:yes,,0.801,29206360
548,2:no,2:no,,0.983,33994467
549,1:yes,1:yes,,0.761,10934212
550,2:no,2:no,,0.757,27497535

