inst#,actual,predicted,error,prediction,pageid
96,1:yes,1:yes,,0.555,171306
97,2:no,2:no,,0.649,125495
98,1:yes,2:no,+,0.655,932915
99,1:yes,2:no,+,0.584,460821
100,1:yes,1:yes,,0.671,160760
101,2:no,1:yes,+,0.505,103443
102,2:no,2:no,,0.694,277006
103,1:yes,2:no,+,0.772,427707
104,2:no,1:yes,+,0.675,4020775
105,2:no,2:no,,0.569,14165009
106,2:no,2:no,,0.905,191273
107,2:no,1:yes,+,0.57,1566175
108,1:yes,1:yes,,0.549,30297
109,1:yes,1:yes,,0.909,22936
110,2:no,1:yes,+,0.74,274910
111,2:no,1:yes,+,0.55,884607
112,2:no,1:yes,+,0.674,42685705
113,1:yes,2:no,+,0.615,255722
114,1:yes,1:yes,,0.68,147575
115,2:no,2:no,,0.56,1198487
116,2:no,2:no,,0.621,97774
117,1:yes,1:yes,,0.818,3225498
118,1:yes,1:yes,,0.631,428979
119,2:no,1:yes,+,0.676,231089
120,2:no,2:no,,0.711,1111684
121,1:yes,1:yes,,0.805,175357
122,1:yes,1:yes,,0.739,65173
123,2:no,2:no,,0.844,22663901
124,2:no,2:no,,0.831,61145
125,2:no,1:yes,+,0.755,10447140
126,2:no,2:no,,0.871,11465552
127,1:yes,1:yes,,0.615,44431
128,2:no,2:no,,0.599,14937814
129,2:no,2:no,,0.767,28613119
130,1:yes,1:yes,,0.869,56873
131,2:no,1:yes,+,0.69,1104730
132,2:no,2:no,,0.679,8506316
133,2:no,2:no,,0.975,13437247
134,1:yes,1:yes,,0.86,20076
135,2:no,1:yes,+,0.573,14702
136,2:no,2:no,,0.515,5995136
137,1:yes,1:yes,,0.635,743769
138,2:no,2:no,,0.821,35824191
139,1:yes,1:yes,,0.764,69795
140,2:no,2:no,,0.76,915081
141,1:yes,1:yes,,0.5,12471
142,2:no,2:no,,0.899,3238282
143,1:yes,2:no,+,0.766,73887
144,2:no,2:no,,0.76,1211852
145,1:yes,2:no,+,0.535,2343
146,2:no,2:no,,0.944,52332604
147,2:no,2:no,,0.549,314292
148,2:no,2:no,,0.585,89260
149,2:no,2:no,,0.983,45399040
150,1:yes,1:yes,,0.82,25427
151,1:yes,1:yes,,0.756,15295
152,2:no,2:no,,0.583,700610
153,1:yes,2:no,+,0.644,1560218
154,2:no,2:no,,0.656,4535082
155,2:no,2:no,,0.578,498538
156,1:yes,1:yes,,0.716,1305554
157,2:no,1:yes,+,0.794,153041
158,2:no,2:no,,0.958,1255065
159,1:yes,1:yes,,0.87,42635
160,1:yes,1:yes,,0.64,25529159
161,1:yes,2:no,+,0.734,83933
162,2:no,2:no,,0.764,66256
163,2:no,2:no,,0.694,815329
164,1:yes,1:yes,,0.677,52382
165,2:no,2:no,,0.502,26061
166,1:yes,1:yes,,0.845,38076
167,1:yes,2:no,+,0.605,2232012
168,2:no,2:no,,0.884,8262493
169,1:yes,1:yes,,0.81,13118744
170,2:no,2:no,,0.925,286096
171,1:yes,1:yes,,0.951,31750
172,1:yes,1:yes,,0.644,60290
173,2:no,2:no,,0.551,26874
174,2:no,1:yes,+,0.627,179501
175,1:yes,1:yes,,0.509,42558
176,2:no,2:no,,0.885,364285
177,2:no,1:yes,+,0.635,23275402
178,1:yes,1:yes,,0.679,1544191
179,2:no,1:yes,+,0.849,16949861
180,1:yes,1:yes,,0.56,321263
181,2:no,2:no,,0.889,11962112
182,2:no,1:yes,+,0.57,12583841
183,2:no,1:yes,+,0.868,62896
184,2:no,1:yes,+,0.656,663591
185,1:yes,1:yes,,0.917,5211
186,2:no,2:no,,0.715,14078934
187,2:no,1:yes,+,0.618,19167679
188,2:no,2:no,,0.871,10769845
189,2:no,1:yes,+,0.66,9105
190,2:no,2:no,,0.662,41523
191,1:yes,2:no,+,0.73,38873148
192,2:no,2:no,,0.861,12925855
193,1:yes,1:yes,,0.637,34272
194,2:no,2:no,,0.645,171325
195,1:yes,1:yes,,0.636,16597487
196,1:yes,1:yes,,0.744,168917
197,2:no,2:no,,0.873,24975063
198,1:yes,1:yes,,0.532,615807
199,1:yes,1:yes,,0.624,27122
200,2:no,2:no,,0.871,49438681
201,1:yes,1:yes,,0.891,349303
202,1:yes,1:yes,,0.816,31582928
203,1:yes,1:yes,,0.652,1351855
204,2:no,2:no,,0.995,20519569
205,2:no,2:no,,0.67,573822
206,2:no,2:no,,0.578,713549
207,1:yes,1:yes,,0.734,13886661
208,2:no,2:no,,0.682,2632897
209,2:no,2:no,,0.994,22514299
210,1:yes,1:yes,,0.68,39768
211,1:yes,1:yes,,0.655,47150
212,2:no,2:no,,0.677,419557
213,2:no,2:no,,0.965,1071653
214,2:no,2:no,,0.544,63816
215,1:yes,1:yes,,0.756,364813
216,1:yes,1:yes,,0.771,68110
217,2:no,2:no,,0.759,12633123
218,1:yes,1:yes,,0.868,418944
219,1:yes,1:yes,,0.724,52780
220,1:yes,1:yes,,0.757,27977
221,1:yes,1:yes,,0.814,2569378
222,1:yes,1:yes,,0.787,17782843
223,2:no,2:no,,0.511,269046
224,1:yes,1:yes,,0.816,343858
225,2:no,2:no,,0.963,2797419
226,2:no,2:no,,0.821,219056
227,2:no,2:no,,0.973,1376785
228,2:no,1:yes,+,0.584,163382
229,1:yes,1:yes,,0.615,13371
230,1:yes,1:yes,,0.87,9492386
231,1:yes,1:yes,,0.585,72201
232,2:no,2:no,,0.897,30253888
233,2:no,2:no,,0.787,775134
234,1:yes,1:yes,,0.525,11054
235,2:no,2:no,,0.669,15271
236,1:yes,1:yes,,0.772,1514981
237,2:no,2:no,,0.571,52847
238,2:no,2:no,,0.716,3177125
239,1:yes,1:yes,,0.76,32492747
240,1:yes,2:no,+,0.79,1149357
241,2:no,2:no,,0.789,1339238
242,2:no,2:no,,0.865,497407
243,1:yes,1:yes,,0.556,500309
244,2:no,2:no,,0.704,1015585
245,1:yes,1:yes,,0.897,1921
246,2:no,2:no,,0.949,27022415
247,1:yes,1:yes,,0.571,19344654
248,2:no,2:no,,0.723,3208634
249,1:yes,1:yes,,0.646,1742315
250,1:yes,1:yes,,0.603,34495117
251,2:no,2:no,,0.901,3670297
252,2:no,2:no,,0.644,52369
253,1:yes,1:yes,,0.594,49955
254,2:no,2:no,,0.97,2492394
255,1:yes,1:yes,,0.825,16760
256,1:yes,1:yes,,0.756,232035
257,2:no,2:no,,0.767,417021
258,1:yes,1:yes,,0.565,66578
259,2:no,2:no,,0.939,52045918
260,1:yes,1:yes,,0.966,3966054
261,1:yes,1:yes,,0.87,2627820
262,2:no,2:no,,0.6,11003095
263,1:yes,2:no,+,0.639,26833
264,1:yes,1:yes,,0.546,30797
265,2:no,1:yes,+,0.748,18987
266,1:yes,1:yes,,0.736,161466
267,2:no,1:yes,+,0.605,18839
268,2:no,2:no,,0.718,20384579
269,1:yes,1:yes,,0.917,24475
270,2:no,2:no,,0.639,36246766
271,1:yes,1:yes,,0.84,125248
272,1:yes,1:yes,,0.875,11121
273,1:yes,1:yes,,0.53,17446303
274,2:no,1:yes,+,0.685,186797
275,2:no,2:no,,0.906,17046226
276,1:yes,1:yes,,0.555,3738
277,1:yes,1:yes,,0.77,30475
278,2:no,2:no,,0.723,317562
279,2:no,2:no,,0.895,13567676
280,1:yes,1:yes,,0.568,16463132
281,1:yes,1:yes,,0.601,381399
282,1:yes,1:yes,,0.632,2366752
283,1:yes,1:yes,,0.781,6886
284,2:no,2:no,,0.725,12315140
285,2:no,2:no,,0.629,265857
286,1:yes,1:yes,,0.77,19283178
287,1:yes,1:yes,,0.826,169376
288,1:yes,1:yes,,0.912,25938
289,1:yes,1:yes,,0.951,5042706
290,1:yes,1:yes,,0.669,21648
291,1:yes,1:yes,,0.9,23805
292,2:no,2:no,,0.505,18313
293,2:no,2:no,,0.52,165890
294,1:yes,1:yes,,0.665,10186
295,2:no,2:no,,0.762,924726
296,2:no,2:no,,0.978,27921792
297,2:no,1:yes,+,0.666,21883857
298,2:no,2:no,,0.792,12386
299,1:yes,1:yes,,0.92,1771587
300,1:yes,2:no,+,0.695,312170
301,2:no,1:yes,+,0.61,25736
302,2:no,2:no,,0.564,7586
303,2:no,2:no,,0.897,2212656
304,1:yes,1:yes,,0.819,203237
305,2:no,2:no,,0.951,29030725
306,1:yes,1:yes,,0.571,152772
307,2:no,1:yes,+,0.604,56101
308,1:yes,1:yes,,0.529,2787862
309,2:no,2:no,,0.801,27490
310,2:no,1:yes,+,0.623,49121
311,1:yes,1:yes,,0.606,265307
312,2:no,2:no,,0.863,41592580
313,1:yes,1:yes,,0.604,569
314,2:no,2:no,,0.885,17766232
315,1:yes,1:yes,,0.723,19356
316,2:no,2:no,,0.894,37803934
317,2:no,2:no,,0.98,50432
318,2:no,2:no,,0.598,7271
319,2:no,2:no,,0.885,576969
320,1:yes,1:yes,,0.855,113348
321,1:yes,1:yes,,0.767,240547
322,2:no,2:no,,0.966,10096572
323,2:no,2:no,,0.848,4683002
324,1:yes,1:yes,,0.792,21009880
325,1:yes,1:yes,,0.819,20948
326,2:no,2:no,,0.755,59806
327,2:no,2:no,,0.775,8493516
328,1:yes,1:yes,,0.781,7397019
329,2:no,2:no,,0.75,3953738
330,1:yes,1:yes,,0.61,4217297
331,2:no,2:no,,0.686,18253454
332,2:no,2:no,,0.794,2983197
333,2:no,2:no,,0.82,15758205
334,1:yes,2:no,+,0.626,310331
335,2:no,2:no,,0.868,11647604
336,1:yes,1:yes,,0.515,17628
337,2:no,2:no,,0.873,827842
338,1:yes,1:yes,,0.818,291592
339,2:no,2:no,,0.877,4131678
340,1:yes,1:yes,,0.576,16707
341,2:no,2:no,,0.941,2746666
342,1:yes,1:yes,,0.512,14594
343,1:yes,2:no,+,0.624,195306
344,2:no,2:no,,0.761,17939402
345,2:no,2:no,,0.929,11815157
346,2:no,2:no,,0.716,38274305
347,1:yes,1:yes,,0.895,29838
348,1:yes,1:yes,,0.72,16099
349,1:yes,1:yes,,0.564,700568
350,2:no,1:yes,+,0.534,46823
351,2:no,2:no,,0.924,35998553
352,1:yes,1:yes,,0.845,333091
353,1:yes,1:yes,,0.895,145439
354,1:yes,1:yes,,0.605,957537
355,2:no,2:no,,0.89,6861578
356,2:no,2:no,,0.719,4094028
357,1:yes,1:yes,,0.686,1361082
358,1:yes,2:no,+,0.525,12254052
359,2:no,1:yes,+,0.713,55791
360,2:no,2:no,,0.963,14122398
361,1:yes,1:yes,,0.75,7738
362,1:yes,2:no,+,0.625,6623
363,2:no,2:no,,0.856,24894509
364,2:no,2:no,,0.864,1466438
365,1:yes,1:yes,,0.514,42762068
366,2:no,1:yes,+,0.701,1133844
367,2:no,2:no,,0.869,34780788
368,1:yes,1:yes,,0.532,125320
369,2:no,2:no,,0.988,20007045
370,2:no,2:no,,0.961,1485652
371,1:yes,1:yes,,0.8,609523
372,2:no,1:yes,+,0.53,78358
373,2:no,1:yes,+,0.573,154245
374,1:yes,2:no,+,0.676,308131
375,2:no,2:no,,0.896,1308385
376,2:no,2:no,,0.728,13497621
377,1:yes,2:no,+,0.664,10287
378,1:yes,1:yes,,0.765,3267529
379,2:no,1:yes,+,0.919,37423368
380,2:no,2:no,,0.94,40457153
381,2:no,2:no,,0.887,25012037
382,2:no,2:no,,0.849,21761
383,1:yes,2:no,+,0.69,6671
384,1:yes,1:yes,,0.75,2110323
385,2:no,1:yes,+,0.651,58586
386,2:no,2:no,,0.728,18895385
387,1:yes,1:yes,,0.861,33139
388,2:no,1:yes,+,0.814,29265
389,2:no,1:yes,+,0.569,1814362
390,2:no,2:no,,0.849,47256334
391,1:yes,1:yes,,0.693,428819
392,1:yes,1:yes,,0.684,15131007
393,2:no,2:no,,0.79,212253
394,1:yes,1:yes,,0.65,663540
395,1:yes,1:yes,,0.765,3829005
396,2:no,1:yes,+,0.78,27005455
397,1:yes,1:yes,,0.701,9317
398,2:no,1:yes,+,0.507,286458
399,2:no,2:no,,0.855,2155909
400,1:yes,1:yes,,0.863,53029
401,1:yes,1:yes,,0.733,198081
402,1:yes,1:yes,,0.911,40147
403,2:no,2:no,,0.559,63349
404,2:no,2:no,,0.891,14033347
405,2:no,2:no,,0.769,400103
406,2:no,1:yes,+,0.786,24536543
407,1:yes,1:yes,,0.919,25473
408,2:no,1:yes,+,0.53,37280522
409,1:yes,2:no,+,0.6,243433
410,2:no,1:yes,+,0.576,48728
411,1:yes,2:no,+,0.939,205789
412,2:no,2:no,,0.859,30505250
413,1:yes,1:yes,,0.765,33121168
414,2:no,2:no,,0.755,36777018
415,2:no,2:no,,0.621,2002565
416,1:yes,2:no,+,0.674,666601
417,1:yes,1:yes,,0.925,307
418,1:yes,1:yes,,0.559,437067
419,2:no,2:no,,0.545,9955
420,1:yes,1:yes,,0.746,158879
421,2:no,2:no,,0.706,75899
422,1:yes,1:yes,,0.846,47878
423,1:yes,2:no,+,0.505,27620742
424,1:yes,1:yes,,0.864,275051
425,2:no,1:yes,+,0.708,3505712
426,2:no,2:no,,0.769,917941
427,1:yes,1:yes,,0.555,19629641
428,1:yes,2:no,+,0.51,294813
429,2:no,2:no,,0.919,27417613
430,2:no,2:no,,0.719,22210561
431,2:no,2:no,,0.585,2771937
432,1:yes,1:yes,,0.919,5710507
433,2:no,2:no,,0.969,47879432
434,2:no,2:no,,0.652,713949
435,2:no,2:no,,0.741,11843604
436,2:no,2:no,,0.825,11793227
437,1:yes,1:yes,,0.546,20914042
438,1:yes,1:yes,,0.932,23041
439,1:yes,1:yes,,0.569,15380061
440,1:yes,1:yes,,0.74,34289
441,2:no,2:no,,0.777,30717904
442,2:no,2:no,,0.662,3635710
443,1:yes,2:no,+,0.563,940606
444,2:no,2:no,,0.631,305917
445,2:no,2:no,,0.65,81886
446,2:no,2:no,,0.877,27881426
447,2:no,2:no,,0.907,15867436
448,1:yes,2:no,+,0.616,718108
449,2:no,2:no,,0.989,1006330
450,2:no,2:no,,0.879,37476190
451,1:yes,2:no,+,0.741,364326
452,2:no,1:yes,+,0.609,5002871
453,2:no,2:no,,0.959,6459614
454,1:yes,1:yes,,0.541,22477
455,1:yes,1:yes,,0.527,31438
456,2:no,2:no,,0.861,30250971
457,2:no,1:yes,+,0.716,45694879
458,1:yes,1:yes,,0.679,5422144
459,2:no,2:no,,0.58,1193095
460,2:no,1:yes,+,0.723,367133
461,2:no,2:no,,0.603,3099417
462,2:no,1:yes,+,0.519,36623
463,2:no,2:no,,0.865,15789
464,1:yes,1:yes,,0.866,72336
465,1:yes,1:yes,,0.671,67173
466,1:yes,2:no,+,0.931,35751103
467,1:yes,2:no,+,0.848,11737832
468,2:no,2:no,,0.681,18505633
469,1:yes,1:yes,,0.67,2680715
470,1:yes,1:yes,,0.925,30535
471,1:yes,1:yes,,0.856,863
472,1:yes,1:yes,,0.767,22131
473,1:yes,1:yes,,0.679,33545
474,2:no,2:no,,0.905,18594320
475,2:no,1:yes,+,0.563,1246843
476,1:yes,2:no,+,0.574,38748
477,2:no,2:no,,0.708,28920167
478,2:no,2:no,,0.93,1514405
479,1:yes,1:yes,,0.82,5574594
480,2:no,2:no,,0.569,481130
481,2:no,2:no,,0.849,20799079
482,1:yes,1:yes,,0.609,48522
483,1:yes,2:no,+,0.576,6907
484,1:yes,1:yes,,0.795,264062
485,1:yes,2:no,+,0.546,48146
486,1:yes,1:yes,,0.775,66936
487,2:no,2:no,,0.8,878854
488,1:yes,2:no,+,0.66,261925
489,1:yes,1:yes,,0.78,26678
490,2:no,1:yes,+,0.532,102383
491,2:no,2:no,,0.677,55271716
492,2:no,2:no,,0.667,303434
493,2:no,1:yes,+,0.623,3835759
494,1:yes,1:yes,,0.571,49444
495,2:no,2:no,,0.537,4311910
496,1:yes,2:no,+,0.516,43488
497,1:yes,1:yes,,0.69,19220448
498,2:no,2:no,,0.618,20727696
499,1:yes,2:no,+,0.551,2100861
500,2:no,2:no,,0.729,143914
501,2:no,1:yes,+,0.861,5667
502,1:yes,1:yes,,0.782,25
503,1:yes,1:yes,,0.949,4848272
504,2:no,1:yes,+,0.515,43675
505,2:no,2:no,,0.985,45178500
506,2:no,2:no,,0.714,11876628
507,1:yes,1:yes,,0.64,19718837
508,1:yes,1:yes,,0.8,15135713
509,2:no,2:no,,0.522,13306
510,2:no,2:no,,0.681,35981249
511,2:no,1:yes,+,0.501,56978
512,2:no,1:yes,+,0.642,32623
513,2:no,2:no,,0.828,30414731
514,2:no,1:yes,+,0.554,1439427
515,1:yes,2:no,+,0.629,175811
516,1:yes,2:no,+,0.624,11015252
517,2:no,2:no,,0.989,44408842
518,1:yes,2:no,+,0.751,59097
519,2:no,2:no,,0.926,884044
520,1:yes,1:yes,,0.834,16743
521,1:yes,1:yes,,0.825,19005719
522,1:yes,1:yes,,0.551,288343
523,1:yes,1:yes,,0.755,29688374
524,1:yes,2:no,+,0.756,2184535
525,2:no,2:no,,0.871,21474911
526,2:no,2:no,,0.728,1931006
527,1:yes,1:yes,,0.632,5594647
528,1:yes,1:yes,,0.785,347086
529,1:yes,1:yes,,0.598,5507411
530,2:no,2:no,,0.931,3045642
531,1:yes,1:yes,,0.775,5987
532,1:yes,1:yes,,0.806,89662
533,2:no,2:no,,0.831,26487
534,2:no,2:no,,0.866,16690255
535,1:yes,1:yes,,0.936,25613
536,2:no,2:no,,0.704,134672
537,2:no,2:no,,0.859,168430
538,2:no,2:no,,0.909,1108214
539,1:yes,1:yes,,0.68,20041526
540,1:yes,1:yes,,0.646,2460
541,1:yes,1:yes,,0.74,19168
542,1:yes,1:yes,,0.679,315087
543,2:no,2:no,,0.81,424928
544,1:yes,1:yes,,0.762,4868935
545,1:yes,1:yes,,0.963,189322
546,1:yes,1:yes,,0.838,162615
547,2:no,2:no,,0.691,1781700
548,1:yes,1:yes,,0.532,816925
549,2:no,1:yes,+,0.516,632322
550,1:yes,1:yes,,0.635,51669
551,2:no,2:no,,0.802,32560864
552,2:no,2:no,,0.711,21312284

