inst#,actual,predicted,error,prediction,pageid
119,1:yes,1:yes,,0.573,243927
120,1:yes,1:yes,,0.752,48370461
121,2:no,1:yes,+,0.554,805891
122,1:yes,1:yes,,0.784,68904
123,1:yes,1:yes,,0.675,37873196
124,2:no,2:no,,0.765,50252
125,2:no,2:no,,0.835,234842
126,1:yes,2:no,+,0.706,638066
127,1:yes,1:yes,,0.74,47717515
128,2:no,2:no,,0.701,17206737
129,2:no,2:no,,0.943,42579750
130,1:yes,1:yes,,0.535,37293
131,1:yes,1:yes,,0.802,168890
132,2:no,2:no,,0.765,703940
133,2:no,2:no,,0.56,102446
134,1:yes,1:yes,,0.922,3356
135,2:no,2:no,,0.905,18853459
136,2:no,2:no,,0.777,355738
137,1:yes,2:no,+,0.501,24326
138,2:no,2:no,,0.78,11717251
139,2:no,2:no,,0.709,41174687
140,2:no,2:no,,0.909,3582734
141,1:yes,2:no,+,0.647,945404
142,2:no,2:no,,0.698,16759271
143,1:yes,1:yes,,0.894,70157
144,2:no,2:no,,0.917,46466350
145,2:no,2:no,,0.715,216849
146,2:no,2:no,,0.654,298705
147,1:yes,2:no,+,0.69,2945164
148,1:yes,1:yes,,0.589,25854438
149,2:no,2:no,,0.968,48994238
150,2:no,2:no,,0.652,99312
151,1:yes,1:yes,,0.776,4429395
152,1:yes,1:yes,,0.609,4577283
153,2:no,2:no,,0.561,150209
154,2:no,2:no,,0.547,4371925
155,1:yes,1:yes,,0.774,39609876
156,2:no,2:no,,0.595,51320
157,1:yes,1:yes,,0.895,19283335
158,1:yes,1:yes,,0.835,317383
159,1:yes,1:yes,,0.907,179187
160,1:yes,1:yes,,0.791,20979
161,2:no,1:yes,+,0.744,156858
162,1:yes,1:yes,,0.891,63317
163,2:no,2:no,,0.912,8498162
164,2:no,2:no,,0.846,933137
165,1:yes,1:yes,,0.777,8135890
166,2:no,1:yes,+,0.715,186193
167,1:yes,1:yes,,0.865,763013
168,2:no,2:no,,0.579,97509
169,2:no,2:no,,0.853,30806858
170,2:no,2:no,,0.696,33476103
171,1:yes,2:no,+,0.556,486017
172,1:yes,1:yes,,0.601,15606
173,2:no,2:no,,0.589,122822
174,2:no,2:no,,0.94,26262847
175,2:no,2:no,,0.776,723638
176,1:yes,1:yes,,0.69,38100116
177,2:no,2:no,,0.806,10768291
178,2:no,1:yes,+,0.58,2727079
179,1:yes,2:no,+,0.56,867145
180,1:yes,1:yes,,0.927,37556
181,2:no,1:yes,+,0.579,105697
182,2:no,2:no,,0.623,43473072
183,1:yes,1:yes,,0.806,25955086
184,2:no,2:no,,0.983,14255377
185,1:yes,1:yes,,0.868,1195328
186,1:yes,1:yes,,0.68,229257
187,1:yes,1:yes,,0.864,156507
188,2:no,1:yes,+,0.501,125217
189,1:yes,1:yes,,0.756,26410
190,2:no,2:no,,0.846,1752376
191,1:yes,2:no,+,0.818,12232585
192,2:no,2:no,,0.561,26714
193,2:no,1:yes,+,0.796,48768
194,1:yes,1:yes,,0.706,19037
195,2:no,2:no,,0.631,456066
196,2:no,2:no,,0.861,20320
197,2:no,2:no,,0.625,518534
198,2:no,2:no,,0.831,1739180
199,2:no,2:no,,0.916,3991823
200,2:no,2:no,,0.674,142323
201,1:yes,2:no,+,0.58,2252913
202,2:no,2:no,,0.501,9590163
203,1:yes,1:yes,,0.645,15898
204,2:no,1:yes,+,0.776,85234
205,1:yes,1:yes,,0.522,9588
206,1:yes,2:no,+,0.51,164394
207,2:no,1:yes,+,0.535,26368
208,2:no,2:no,,0.944,53281811
209,2:no,1:yes,+,0.642,29219
210,2:no,2:no,,0.682,221708
211,2:no,1:yes,+,0.629,342044
212,1:yes,1:yes,,0.974,25433
213,2:no,2:no,,0.93,13017065
214,2:no,1:yes,+,0.734,28330
215,2:no,1:yes,+,0.71,18938265
216,1:yes,1:yes,,0.835,8718425
217,1:yes,2:no,+,0.603,376985
218,1:yes,1:yes,,0.637,4294
219,2:no,1:yes,+,0.61,38743
220,2:no,2:no,,0.641,548667
221,1:yes,1:yes,,0.706,27159
222,1:yes,1:yes,,0.51,38193
223,2:no,1:yes,+,0.649,5052533
224,2:no,1:yes,+,0.541,6384037
225,2:no,2:no,,0.955,2888022
226,2:no,2:no,,0.954,6887017
227,2:no,1:yes,+,0.551,32668390
228,1:yes,1:yes,,0.851,22576
229,2:no,2:no,,0.926,3229401
230,2:no,2:no,,0.929,2589751
231,1:yes,1:yes,,0.726,27421
232,2:no,2:no,,0.619,4532448
233,1:yes,1:yes,,0.564,14726
234,1:yes,1:yes,,0.642,1902
235,2:no,1:yes,+,0.594,15975
236,2:no,1:yes,+,0.564,62654
237,1:yes,2:no,+,0.649,23747676
238,1:yes,2:no,+,0.864,951581
239,2:no,2:no,,0.743,13789924
240,1:yes,2:no,+,0.938,384706
241,2:no,2:no,,0.714,507399
242,1:yes,1:yes,,0.77,15611519
243,1:yes,1:yes,,0.623,2298740
244,2:no,2:no,,0.794,525160
245,2:no,2:no,,0.975,36806948
246,1:yes,1:yes,,0.631,44534
247,1:yes,2:no,+,0.76,140256
248,2:no,1:yes,+,0.565,82471
249,2:no,1:yes,+,0.834,60027
250,2:no,2:no,,0.748,917232
251,1:yes,1:yes,,0.821,25454239
252,1:yes,1:yes,,0.536,331028
253,2:no,2:no,,0.8,578712
254,1:yes,1:yes,,0.571,34244
255,2:no,2:no,,0.87,525737
256,1:yes,1:yes,,0.595,19481110
257,1:yes,2:no,+,0.757,9442699
258,2:no,1:yes,+,0.811,21836
259,1:yes,2:no,+,0.531,20200414
260,2:no,1:yes,+,0.57,2269697
261,2:no,2:no,,0.59,786545
262,1:yes,1:yes,,0.541,13690575
263,2:no,1:yes,+,0.551,295598
264,2:no,2:no,,0.716,95214
265,2:no,2:no,,0.794,57851
266,2:no,2:no,,0.981,21067650
267,2:no,2:no,,0.71,1572499
268,1:yes,1:yes,,0.859,560876
269,1:yes,1:yes,,0.517,169836
270,1:yes,2:no,+,0.549,8582
271,1:yes,1:yes,,0.568,70842
272,2:no,2:no,,0.873,159225
273,1:yes,1:yes,,0.71,56120
274,1:yes,1:yes,,0.662,34350
275,1:yes,1:yes,,0.599,50482
276,1:yes,1:yes,,0.676,278119
277,1:yes,1:yes,,0.584,179342
278,2:no,2:no,,0.756,33409644
279,1:yes,1:yes,,0.639,348486
280,2:no,1:yes,+,0.713,822307
281,2:no,2:no,,0.936,42720323
282,2:no,2:no,,0.971,43863159
283,2:no,2:no,,0.991,52760867
284,1:yes,1:yes,,0.626,2279619
285,1:yes,1:yes,,0.907,105219
286,2:no,2:no,,0.584,356777
287,2:no,2:no,,0.843,23090816
288,2:no,2:no,,0.834,22117825
289,1:yes,1:yes,,0.792,49611
290,1:yes,1:yes,,0.833,99881
291,1:yes,1:yes,,0.646,25806
292,1:yes,1:yes,,0.649,88750
293,2:no,2:no,,0.576,811714
294,2:no,1:yes,+,0.581,795071
295,1:yes,1:yes,,0.6,44469
296,2:no,2:no,,0.715,35843293
297,1:yes,1:yes,,0.81,17771
298,2:no,1:yes,+,0.563,40313234
299,2:no,1:yes,+,0.594,1505381
300,2:no,1:yes,+,0.645,71932
301,2:no,1:yes,+,0.531,24526226
302,1:yes,1:yes,,0.744,18973869
303,1:yes,2:no,+,0.583,2100405
304,2:no,2:no,,0.519,45230258
305,2:no,2:no,,0.598,44240
306,2:no,2:no,,0.846,33831345
307,2:no,2:no,,0.56,7954643
308,2:no,1:yes,+,0.76,204706
309,1:yes,1:yes,,0.741,752553
310,1:yes,1:yes,,0.807,5635
311,1:yes,1:yes,,0.894,20455
312,2:no,2:no,,0.634,42142305
313,1:yes,1:yes,,0.714,5278
314,1:yes,1:yes,,0.943,27992
315,2:no,2:no,,0.829,5115369
316,2:no,2:no,,0.796,38894501
317,2:no,2:no,,0.934,5728194
318,1:yes,1:yes,,0.745,624
319,1:yes,2:no,+,0.618,1067062
320,2:no,2:no,,0.843,3089277
321,1:yes,2:no,+,0.667,246185
322,2:no,2:no,,0.844,2560
323,2:no,2:no,,0.955,5205969
324,1:yes,2:no,+,0.681,16118202
325,2:no,2:no,,0.691,12499410
326,1:yes,1:yes,,0.809,13913
327,2:no,2:no,,0.741,42678054
328,1:yes,1:yes,,0.749,43846
329,2:no,1:yes,+,0.505,24986
330,2:no,2:no,,0.844,745853
331,1:yes,1:yes,,0.859,29490
332,1:yes,1:yes,,0.807,26033941
333,2:no,2:no,,0.799,1385430
334,2:no,2:no,,0.999,24962835
335,1:yes,2:no,+,0.54,44647390
336,2:no,2:no,,0.631,10935907
337,2:no,2:no,,0.96,12994019
338,1:yes,2:no,+,0.574,38711
339,2:no,1:yes,+,0.704,6299613
340,1:yes,1:yes,,0.667,9258
341,2:no,2:no,,0.996,36765013
342,1:yes,2:no,+,0.649,2289648
343,1:yes,2:no,+,0.896,218299
344,2:no,1:yes,+,0.657,26202
345,2:no,2:no,,0.834,2936492
346,2:no,2:no,,0.504,4852233
347,2:no,2:no,,0.999,7418510
348,2:no,1:yes,+,0.635,1158886
349,1:yes,1:yes,,0.614,59212
350,1:yes,1:yes,,0.721,274539
351,2:no,2:no,,0.661,31555577
352,2:no,2:no,,0.71,363851
353,1:yes,2:no,+,0.506,158705
354,2:no,1:yes,+,0.596,46284800
355,1:yes,1:yes,,0.711,23592
356,2:no,2:no,,0.815,252534
357,1:yes,1:yes,,0.855,32917
358,2:no,2:no,,0.989,12727
359,2:no,1:yes,+,0.706,517136
360,2:no,2:no,,0.775,2692172
361,1:yes,1:yes,,0.674,2327581
362,2:no,2:no,,0.708,57845
363,1:yes,1:yes,,0.605,20648200
364,1:yes,1:yes,,0.78,106402
365,1:yes,1:yes,,0.544,4057953
366,2:no,2:no,,0.771,11962266
367,1:yes,1:yes,,0.685,2957039
368,2:no,1:yes,+,0.714,4131402
369,2:no,2:no,,0.83,1700717
370,2:no,2:no,,0.799,33548913
371,2:no,2:no,,0.682,77667
372,2:no,2:no,,0.868,4018311
373,2:no,1:yes,+,0.657,1014518
374,2:no,1:yes,+,0.54,594
375,2:no,2:no,,0.791,15632813
376,1:yes,2:no,+,0.639,699349
377,1:yes,2:no,+,0.931,319302
378,2:no,2:no,,0.925,8106609
379,1:yes,1:yes,,0.796,168714
380,1:yes,2:no,+,0.681,2510105
381,2:no,2:no,,0.88,24511019
382,1:yes,1:yes,,0.884,8629
383,2:no,1:yes,+,0.561,306282
384,1:yes,1:yes,,0.819,36753
385,1:yes,2:no,+,0.78,47374
386,2:no,2:no,,0.583,43069
387,2:no,2:no,,0.912,202133
388,2:no,2:no,,0.771,50689054
389,2:no,2:no,,0.771,256268
390,1:yes,1:yes,,0.729,32544339
391,1:yes,1:yes,,0.784,6341469
392,1:yes,2:no,+,0.716,34421
393,1:yes,2:no,+,0.92,1397993
394,1:yes,1:yes,,0.746,24113
395,1:yes,1:yes,,0.698,2731583
396,2:no,2:no,,0.754,30876071
397,1:yes,2:no,+,0.526,23819805
398,2:no,2:no,,0.525,30307259
399,2:no,2:no,,0.637,3334427
400,2:no,2:no,,0.704,46470319
401,1:yes,1:yes,,0.711,24107
402,2:no,2:no,,0.98,42004317
403,2:no,2:no,,0.96,14464969
404,1:yes,1:yes,,0.853,251879
405,2:no,1:yes,+,0.55,7893
406,1:yes,1:yes,,0.69,5042916
407,1:yes,2:no,+,0.583,29920
408,1:yes,2:no,+,0.746,10431114
409,2:no,2:no,,0.927,192842
410,1:yes,2:no,+,0.517,1677192
411,2:no,2:no,,0.894,44767
412,1:yes,2:no,+,0.517,14457
413,1:yes,1:yes,,0.892,344287
414,1:yes,2:no,+,0.579,11577295
415,1:yes,1:yes,,0.536,14183
416,2:no,2:no,,0.899,38847341
417,2:no,2:no,,0.535,40562
418,2:no,2:no,,0.95,523329
419,2:no,2:no,,0.512,1202355
420,2:no,1:yes,+,0.57,8484783
421,2:no,2:no,,0.689,1602349
422,2:no,2:no,,0.841,25263739
423,1:yes,1:yes,,0.73,80696
424,2:no,2:no,,0.815,367280
425,1:yes,1:yes,,0.789,20395872
426,2:no,2:no,,0.645,42646393
427,2:no,1:yes,+,0.657,2368408
428,2:no,2:no,,0.557,93428
429,2:no,2:no,,0.551,827703
430,1:yes,1:yes,,0.741,8269855
431,2:no,1:yes,+,0.537,15123
432,2:no,2:no,,0.859,9380457
433,2:no,2:no,,0.65,39066698
434,2:no,2:no,,0.907,3982513
435,2:no,2:no,,0.613,41668588
436,2:no,2:no,,0.583,435024
437,2:no,2:no,,0.621,1816178
438,2:no,2:no,,0.966,37910618
439,1:yes,2:no,+,0.57,3895745
440,2:no,1:yes,+,0.57,54253
441,2:no,2:no,,0.968,46496429
442,1:yes,2:no,+,0.665,30972975
443,1:yes,2:no,+,0.624,5785
444,1:yes,1:yes,,0.807,325329
445,2:no,2:no,,0.598,5583441
446,2:no,2:no,,0.989,6961430
447,2:no,2:no,,0.752,5289760
448,2:no,2:no,,0.902,588260
449,1:yes,1:yes,,0.55,169086
450,1:yes,1:yes,,0.581,347084
451,1:yes,2:no,+,0.603,235169
452,1:yes,2:no,+,0.731,3138569
453,2:no,2:no,,0.98,35701370
454,2:no,2:no,,0.979,8817404
455,1:yes,1:yes,,0.579,22292
456,1:yes,1:yes,,0.853,27790
457,2:no,2:no,,0.994,23470968
458,2:no,1:yes,+,0.578,19606306
459,1:yes,1:yes,,0.806,23713759
460,1:yes,1:yes,,0.892,22468
461,2:no,2:no,,0.791,426670
462,2:no,2:no,,0.731,1924418
463,2:no,2:no,,0.95,15476854
464,1:yes,1:yes,,0.623,18932365
465,1:yes,2:no,+,0.54,1438445
466,1:yes,1:yes,,0.58,49544
467,2:no,2:no,,0.576,31703536
468,2:no,2:no,,0.829,739857
469,1:yes,1:yes,,0.64,4751135
470,2:no,2:no,,0.561,20405
471,1:yes,1:yes,,0.713,358934
472,1:yes,1:yes,,0.782,8305
473,2:no,1:yes,+,0.517,1911160
474,2:no,2:no,,0.574,31602166
475,1:yes,1:yes,,0.561,8814638
476,2:no,2:no,,0.657,2627520
477,1:yes,2:no,+,0.534,21496026
478,2:no,1:yes,+,0.51,2871603
479,2:no,2:no,,0.604,16578
480,2:no,2:no,,0.966,8585019
481,2:no,2:no,,0.879,13831734
482,1:yes,1:yes,,0.669,104998
483,2:no,2:no,,0.613,1506903
484,1:yes,1:yes,,0.708,775859
485,2:no,2:no,,0.97,44282786
486,1:yes,1:yes,,0.744,7550182
487,1:yes,1:yes,,0.716,7023
488,1:yes,1:yes,,0.739,24591
489,1:yes,1:yes,,0.615,221998
490,2:no,2:no,,0.787,30577785
491,1:yes,1:yes,,0.881,43356
492,2:no,2:no,,0.525,105496
493,1:yes,1:yes,,0.925,15157915
494,2:no,1:yes,+,0.726,6589
495,2:no,2:no,,0.516,31639348
496,2:no,2:no,,0.885,2275412
497,2:no,2:no,,0.904,37710702
498,2:no,1:yes,+,0.752,18955999
499,2:no,2:no,,0.741,38230656
500,2:no,2:no,,0.693,712828
501,1:yes,1:yes,,0.881,51614
502,1:yes,2:no,+,0.527,5648
503,2:no,2:no,,0.976,24559964
504,2:no,2:no,,0.621,28394320
505,1:yes,1:yes,,0.868,33589
506,1:yes,1:yes,,0.78,96484
507,1:yes,1:yes,,0.876,2752
508,1:yes,1:yes,,0.661,851008
509,2:no,2:no,,0.875,36419010
510,1:yes,1:yes,,0.772,231085
511,2:no,1:yes,+,0.551,3816801
512,1:yes,1:yes,,0.629,11582
513,1:yes,1:yes,,0.721,16477368
514,2:no,2:no,,0.904,16096064
515,2:no,1:yes,+,0.527,619761
516,2:no,2:no,,0.651,1803489
517,2:no,1:yes,+,0.731,16321
518,2:no,2:no,,0.536,731896
519,2:no,2:no,,0.636,33879727
520,2:no,2:no,,0.551,806449
521,1:yes,1:yes,,0.81,3979
522,1:yes,1:yes,,0.866,142056
523,2:no,2:no,,0.754,2497446
524,2:no,1:yes,+,0.634,77587
525,2:no,2:no,,0.927,31717023
526,2:no,1:yes,+,0.521,1108893
527,2:no,2:no,,0.787,366061
528,2:no,1:yes,+,0.546,42200
529,1:yes,1:yes,,0.728,1806
530,2:no,2:no,,0.68,6262423
531,1:yes,1:yes,,0.828,23440
532,1:yes,2:no,+,0.549,1380550
533,1:yes,1:yes,,0.844,3162905
534,1:yes,1:yes,,0.542,23555
535,1:yes,1:yes,,0.631,21171721
536,2:no,2:no,,0.557,44527235
537,2:no,2:no,,0.694,10091322
538,2:no,2:no,,0.555,329949
539,2:no,2:no,,0.715,2343027
540,2:no,2:no,,0.636,1135593
541,1:yes,1:yes,,0.806,54985
542,2:no,2:no,,0.765,48417107
543,2:no,1:yes,+,0.595,36084003
544,1:yes,2:no,+,0.554,65735
545,1:yes,1:yes,,0.871,28291766

